지역,대학명,전형유형,모집단위,2025 입시결과 경쟁,2025 입시결과 70%,2024 입시결과 경쟁,2024 입시결과 70%
경기,가천대학교,학생부교과,# 자유전공,28.6,3.2,48.3,3.23
경기,가천대학교,학생부교과,유아교육학과,9.2,3.13,29.6,2.73
경기,가천대학교,학생부교과,간호학과,13.6,2.22,31.7,2.24
경기,가천대학교,학생부교과,치위생학과,7.8,3.25,20.6,2.94
경기,가천대학교,학생부교과,물리치료학과,12.8,2.25,22.2,2.29
경기,가천대학교,학생부교과,방사선학과,20.4,2.78,21.0,3.06
경기,가천대학교,학생부교과,경영학과,29.5,,16.0,3.14
경기,가천대학교,학생부교과,관광경영학과,14.5,,16.5,2.79
경기,가천대학교,학생부교과,의료산업경영학과,9.5,,6.5,2.86
경기,가천대학교,학생부교과,금융·빅데이터학부,,,,
경기,가천대학교,학생부교과,미디어커뮤니케이션학과,16.0,,12.0,1.0
경기,가천대학교,학생부교과,경제학과,13.0,,7.0,2.89
경기,가천대학교,학생부교과,응용통계학과,21.5,,6.5,3.88
경기,가천대학교,학생부교과,사회복지학과,23.5,,24.5,3.52
경기,가천대학교,학생부교과,심리학과,16.5,,10.5,2.73
경기,가천대학교,학생부교과,패션산업학과,13.0,,,
경기,가천대학교,학생부교과,# AI인문대학,,,,
경기,가천대학교,학생부교과,# 법과대학,14.0,,15.0,3.42
경기,가천대학교,학생부교과,도시계획·조경학부,,,10.0,1.2
경기,가천대학교,학생부교과,건축학부,15.7,,18.5,3.5
경기,가천대학교,학생부교과,건축공학과,15.7,,18.5,3.5
경기,가천대학교,학생부교과,화공생명배터리공학부,9.0,,10.5,2.77
경기,가천대학교,학생부교과,기계공학부,28.5,,15.5,3.83
경기,가천대학교,학생부교과,건설환경공학과,,,,
경기,가천대학교,학생부교과,신소재공학과,22.0,,13.0,3.69
경기,가천대학교,학생부교과,바이오나노학과,11.0,,,
경기,가천대학교,학생부교과,식품생명공학과,17.0,,18.0,3.67
경기,가천대학교,학생부교과,식품영양학과,15.5,,10.0,3.92
경기,가천대학교,학생부교과,생명과학과,11.5,,,
경기,가천대학교,학생부교과,반도체물리학과,25.0,,7.0,5.84
경기,가천대학교,학생부교과,화학과,18.5,,10.0,3.58
경기,가천대학교,학생부교과,# 반도체대학,14.6,,8.0,2.87
경기,가천대학교,학생부교과,인공지능학과,10.0,,,
경기,가천대학교,학생부교과,컴퓨터공학과,21.5,,21.5,3.05
경기,가천대학교,학생부교과,전기공학과,27.0,,10.0,3.97
경기,가천대학교,학생부교과,스마트시티학과,12.5,,,
경기,가천대학교,학생부교과,의공학과,8.5,,,
경기,가천대학교,학생부교과,간호학과,11.3,,33.7,1.95
경기,가천대학교,학생부교과,치위생학과,17.0,,11.5,3.06
경기,가천대학교,학생부교과,물리치료학과,21.5,,27.0,1.29
경기,가천대학교,학생부교과,방사선학과,23.0,,12.5,2.91
경기,가천대학교,학생부교과,운동재활학과,28.5,,11.5,3.5
경기,가천대학교,학생부교과,바이오로직스학과,,,,
경기,가천대학교,학생부교과,의예과,24.0,,,
경기,가천대학교,학생부교과,한의예과,16.0,,,
경기,가천대학교,학생부교과,약학과,22.0,,,
경기,가천대학교,학생부교과,간호학과,23.5,1.88,,
경기,가천대학교,학생부교과,건설환경공학과,15.5,2.69,11.0,2.86
경기,가천대학교,학생부교과,건축학부,18.3,2.57,16.3,1.54
경기,가천대학교,학생부교과,경영학과,20.2,2,32.7,1.94
경기,가천대학교,학생부교과,경제학과,11.0,3.73,7.0,1.34
경기,가천대학교,학생부교과,관광경영학과,12.5,1.81,12.0,1.97
경기,가천대학교,학생부교과,기계공학부,22.7,3.5,15.7,1.9
경기,가천대학교,학생부교과,도시계획·조경학부,26.0,1.25,10.5,2.88
경기,가천대학교,학생부교과,미디어커뮤니케이션학과,31.0,2.57,20.0,1.74
경기,가천대학교,학생부교과,반도체대학,14.3,2.46,14.5,1.68
경기,가천대학교,학생부교과,법과대학,,,,
경기,가천대학교,학생부교과,사회복지학과,9.0,2.83,10.5,2.14
경기,가천대학교,학생부교과,식품생명공학과,11.0,2.3,8.5,1.43
경기,가천대학교,학생부교과,식품영양학과,14.0,2.07,23.5,1.7
